0,0,0,1
0,1,0,1
0,2,0,1
0,3,0,1
0,4,0,1
0,5,0,1
0,6,0,1
0,7,0,1
0,8,0,1
0,9,0,1
0,10,0,1
0,11,0,1
0,12,0,1
0,13,0,1
0,14,0,1
0,15,1,1
0,16,1,1
0,17,1,1
0,18,1,1
0,19,1,1
0,20,1,1
0,21,1,1
0,22,2,1
0,23,2,1
0,24,2,1
0,25,2,1
0,26,2,1
0,27,2,1
0,28,2,1
0,29,2,1
0,30,3,1
0,31,3,1
0,32,3,1
0,33,3,1
0,34,3,1
0,35,3,1
0,36,3,1
0,37,4,1
0,38,4,1
0,39,4,1
0,40,4,1
0,41,4,1
0,42,4,1
0,43,4,1
0,44,4,1
0,45,5,1
0,46,5,1
0,47,5,1
0,48,5,1
0,49,5,1
0,50,5,1
0,51,5,1
0,52,6,1
0,53,6,1
0,54,6,1
0,55,6,1
0,56,6,1
0,57,6,1
0,58,6,1
0,59,6,1
0,60,7,1
0,61,7,1
0,62,7,1
0,63,7,1
0,64,7,1
0,65,7,1
0,66,7,1
0,67,8,1
0,68,8,1
0,69,8,1
0,70,8,1
0,71,8,1
0,72,8,1
0,73,8,1
0,74,9,1
0,75,9,1
0,76,9,1
0,77,9,1
0,78,9,1
0,79,9,1
0,80,9,1
0,81,9,1
0,82,10,1
0,83,10,1
0,84,10,1
0,85,10,1
0,86,10,1
0,87,10,1
0,88,10,1
0,89,11,1
0,90,11,1
0,91,11,1
0,92,11,1
0,93,11,1
0,94,11,1
0,95,11,1
0,96,11,1
0,97,12,1
0,98,12,1
0,99,12,1
0,100,12,1
0,101,12,1
0,102,12,1
0,103,12,1
0,104,13,1
0,105,13,1
0,106,13,1
0,107,13,1
0,108,13,1
0,109,13,1
0,110,13,1
0,111,13,1
0,112,14,1
0,113,14,1
0,114,14,1
0,115,14,1
0,116,14,1
0,117,14,1
0,118,14,1
0,119,15,1
0,120,15,1
0,121,15,1
0,122,15,1
0,123,15,1
0,124,15,1
0,125,15,1
0,126,15,1
0,127,16,1
0,128,16,1
0,129,16,1
0,130,16,1
0,131,16,1
0,132,16,1
0,133,16,1
0,134,17,1
0,135,17,1
0,136,17,1
0,137,17,1
0,138,17,1
0,139,17,1
0,140,17,1
0,141,18,1
0,142,18,1
0,143,18,1
0,144,18,1
0,145,18,1
0,146,18,1
0,147,18,1
0,148,18,1
0,149,19,1
0,150,19,1
0,151,19,1
0,152,19,1
0,153,19,1
0,154,19,1
0,155,19,1
0,156,20,1
0,157,20,1
0,158,20,1
0,159,20,1
0,160,20,1
0,161,20,1
0,162,20,1
0,163,20,1
0,164,21,1
0,165,21,1
0,166,21,1
0,167,21,1
0,168,21,1
0,169,21,1
0,170,21,1
0,171,22,1
0,172,22,1
0,173,22,1
0,174,22,1
0,175,22,1
0,176,22,1
0,177,22,1
0,178,22,1
0,179,23,1
0,180,23,1
0,181,23,1
0,182,23,1
0,183,23,1
0,184,23,1
0,185,23,1
0,186,24,1
0,187,24,1
0,188,24,1
0,189,24,1
0,190,24,1
0,191,24,1
0,192,24,1
0,193,24,1
0,194,25,1
0,195,25,1
0,196,25,1
0,197,25,1
0,198,25,1
0,199,25,1
0,200,25,1
0,201,26,1
0,202,26,1
0,203,26,1
0,204,26,1
0,205,26,1
0,206,26,1
0,207,26,1
0,208,27,1
0,209,27,1
