indexTime,phase,durationMs,filename,filePosition
1697455793,0,5000.6056,Gamma.dat,0
1697455798,0,5011.0966,Gamma.dat,153600
1697455803,0,5002.3281,Gamma.dat,307200
1697455808,0,5000.2466,Gamma.dat,460800
1697455815,1,5011.2217,Gamma.dat,614400
1697455820,1,5002.1299,Gamma.dat,768000
1697455825,1,5014.9371,Gamma.dat,921600
1697455830,1,5012.7606,Gamma.dat,1075200
1697455836,2,5000.8828,Gamma.dat,1228800
1697455841,2,5010.8936,Gamma.dat,1382400
1697455846,2,5000.4775,Gamma.dat,1536000
1697455851,2,5001.1504,Gamma.dat,1689600
1697455857,3,5011.9084,Gamma.dat,1843200
1697455863,3,5013.0211,Gamma.dat,1996800
1697455868,3,5001.7606,Gamma.dat,2150400
1697455873,3,5000.1263,Gamma.dat,2304000
1697455879,4,5011.8892,Gamma.dat,2457600
1697455884,4,5001.1512,Gamma.dat,2611200
1697455889,4,5010.4424,Gamma.dat,2764800
1697455894,4,5012.255,Gamma.dat,2918400
1697455900,5,5001.1761,Gamma.dat,3072000
1697455905,5,5010.4258,Gamma.dat,3225600
1697455910,5,5009.1098,Gamma.dat,3379200
1697455915,5,5000.9382,Gamma.dat,3532800
1697455922,6,5001.9048,Gamma.dat,3686400
1697455927,6,5000.9938,Gamma.dat,3840000
1697455932,6,5001.2336,Gamma.dat,3993600
1697455937,6,5013.1618,Gamma.dat,4147200
1697455942,6,4999.9777,Gamma.dat,4300800
1697455947,6,5001.4914,Gamma.dat,4454400
1697455952,6,5011.5883,Gamma.dat,4608000
1697455957,6,5011.6484,Gamma.dat,4761600
1697455964,5,5002.0297,Gamma.dat,4915200
1697455969,5,5016.3524,Gamma.dat,5068800
1697455974,5,5013.8953,Gamma.dat,5222400
1697455979,5,5001.115,Gamma.dat,5376000
1697455986,4,5010.2789,Gamma.dat,5529600
1697455991,4,5000.112,Gamma.dat,5683200
1697455996,4,5001.687,Gamma.dat,5836800
1697456001,4,5008.6481,Gamma.dat,5990400
1697456007,3,5014.5827,Gamma.dat,6144000
1697456012,3,5001.0868,Gamma.dat,6297600
1697456017,3,5000.8887,Gamma.dat,6451200
1697456022,3,5000.4108,Gamma.dat,6604800
1697456029,2,5010.3155,Gamma.dat,6758400
1697456035,2,5000.9879,Gamma.dat,6912000
1697456040,2,5000.4008,Gamma.dat,7065600
1697456045,2,5001.7513,Gamma.dat,7219200
1697456051,1,5001.34,Gamma.dat,7372800
1697456056,1,5012.1902,Gamma.dat,7526400
1697456061,1,5000.1783,Gamma.dat,7680000
1697456066,1,5001.6835,Gamma.dat,7833600
1697456072,0,5010.9031,Gamma.dat,7987200
1697456077,0,5009.7767,Gamma.dat,8140800
1697456082,0,5001.4083,Gamma.dat,8294400
1697456087,0,5014.6682,Gamma.dat,8448000
1697456093,0,5011.282,Gamma.dat,8601600
1697456098,0,5001.6181,Gamma.dat,8755200
