16260,10430,15760,14590,11110,7730,13210,12190,16910,23270,13060,15880,23030,24250,20010,14940,28040,22960,25040,25260,22640,17540,19630,16480,26270,26970,26830,16880,16630,14670,17370,14560,24130,25070,12940,10810,17410,14850,17290,9320,28720,26850,18110,10830,18970,15940,13760,25660,25970,28720,21880,27120,13340,14030,13720,13720,24930,30430,29880,21460,17390,21190,13120,13740
11160,23250,12080,19670,9920,13230,16280,17420,22170,24340,16340,20190,19860,31500,18510,14780,30620,28430,18100,23820,22300,21190,26670,11740,24850,28100,22110,20670,16300,20400,22530,9760,28320,23070,13960,12800,24990,16840,12930,18820,30930,20540,10350,16630,14350,22100,17840,21030,30480,25780,21590,21780,10070,19350,17630,14310,32070,32200,27100,16000,22150,18110,16970,16620
14870,17630,22940,15250,11780,15610,14530,17960,27610,17520,18060,23910,21030,28790,19840,11480,30210,24930,24000,28720,23490,32570,22070,14130,37200,31310,19080,23160,17400,22920,22040,9990,32400,13730,10720,21330,17460,18540,11560,21510,31510,17830,12570,24920,13030,16820,21260,15990,30640,22950,27020,17050,22320,15630,17960,11820,30190,33640,24980,13810,30170,16680,20380,20240
21590,14310,21540,15240,15400,17560,18060,18040,31070,17910,22810,24390,28230,22820,15840,10270,34690,23970,35490,22280,28510,25550,15240,9960,31870,23190,23830,19160,21680,26790,13910,10640,23780,9370,15150,22310,21180,18370,19450,23070,22820,14470,19700,18420,20630,18040,22980,11870,39080,29970,25260,12470,23790,19060,18340,10710,34720,29980,13720,27560,16600,22350,24600,22540
22420,23920,23380,17020,20070,13350,23330,11630,23760,25850,32430,26130,32420,22470,11130,12250,32570,27060,33600,24530,34390,30970,14610,14280,27600,21810,27370,12850,30510,22070,9430,16440,18050,13180,22470,17410,27630,16390,22730,16500,21050,15340,32780,17870,20240,29150,17440,7020,28340,33090,20710,23950,21130,23660,13040,12430,31000,24720,20820,33330,20180,24950,18390,31380
10840,25480,15280,17620,17120,22180,20730,16880,17870,28490,28610,33510,24450,16860,12900,11540,28330,32180,25150,23920,37310,17830,12780,23590,27540,24000,21850,19150,28570,14930,14030,15260,14100,17020,29800,18940,16490,20460,17970,14450,15640,16310,21870,32450,16440,23850,14070,12310,25620,28690,14780,24450,19620,22740,10950,16100,34530,15620,22230,30850,17770,29740,29920,33620
21470,17140,11610,19110,15800,26270,14620,23010,15900,33420,30130,32050,18250,15100,10870,16360,16390,27940,24670,28860,36700,16170,15500,31860,17960,33570,13270,29330,25740,13600,17010,14760,10450,21810,19020,24450,18050,23450,17050,17230,15560,22970,17490,24220,23720,21470,11970,12940,25090,26370,19660,18850,26680,15580,14220,19420,32090,17010,31600,17260,26810,23760,30740,36350
30620,15060,17090,14230,19790,19630,14090,22590,31130,28610,30710,27730,12700,12170,12970,25860,21450,22280,28840,34600,25960,16190,28350,23290,24830,21520,17040,26390,20420,12540,18730,15430,15180,31220,20380,21020,18670,22620,13760,24060,17740,21560,20930,17150,28410,18590,15830,24660,24530,15060,27130,18630,23450,14040,12040,21770,21030,22940,26900,15930,33810,22410,34810,37340
21930,15740,22600,12300,23310,13230,25690,22980,27470,25900,32740,19230,11410,10120,19890,21360,28650,28820,31940,34910,11370,17970,26800,16640,34680,12250,36800,25740,19230,15160,18470,17250,20930,18760,26720,17390,25650,13770,20010,29360,18330,21370,22480,27330,21850,13610,13770,31460,23200,21290,19970,26210,13420,15700,19780,28450,18010,26530,15850,30020,23860,28100,37470,36070
14690,12560,18090,14370,20210,17860,27670,12320,23290,27300,33000,10780,14590,16020,23690,19890,25850,33420,35810,24000,13600,34780,22280,21500,22100,17270,31860,21650,14490,20420,18980,22410,34770,17900,24140,22590,21650,14020,24340,35040,18610,23520,23000,21410,17540,12640,23620,39330,15160,23410,20180,24280,9330,14090,23520,38090,20600,28270,15190,36000,20760,33260,46970,37450
12160,18640,13160,24270,16820,22730,29650,18270,28880,30700,23790,9120,11470,16480,18570,22200,20730,30980,31440,13710,21190,23600,17180,23730,11970,22650,25560,17370,13760,16140,19820,17590,27030,24400,22870,23050,11720,18010,31200,27540,19730,23000,22880,23990,12650,13490,33500,32270,16830,21400,24260,13010,11470,21540,29870,32980,25550,12690,27380,29330,28040,33400,37460,33200
12770,12750,15670,19880,16070,30280,14450,23090,25110,28670,10060,11250,13900,22210,20650,22010,27800,34430,23940,9590,25190,24960,18850,20320,14380,25180,18810,12900,15130,22520,25040,14290,20150,15030,18010,21960,8710,28110,31210,21630,17820,19150,24160,21730,9550,20930,32620,25610,22970,21260,17630,10540,14840,25800,29490,29140,21990,15200,34710,24220,27380,33980,30090,30080
17040,12720,19540,12460,18090,23770,14410,16070,25060,21920,8910,10970,15420,18340,21940,22350,27710,28100,12080,18730,20920,15230,19060,19040,25690,23080,18520,5440,19850,16340,17940,24920,16460,17180,14670,11190,18100,22180,25410,14390,19740,20650,18800,12920,7730,25430,30570,28340,16240,23780,11800,14250,20290,22590,30820,33990,12720,20640,22680,20060,33390,32580,31890,28650
9900,10470,16970,13210,26700,15850,11570,15430,29230,8120,8510,10520,12580,18740,18500,14700,26520,20210,10850,23560,22420,22300,15780,15030,27580,14560,10720,12810,18100,14510,15860,29970,13960,16220,16650,10130,25620,33630,17810,25480,15210,22190,16300,11220,19590,27730,24930,28750,19700,16710,8150,12690,17620,30450,27150,26510,10830,27360,17370,27530,30180,28890,32010,31310
7380,14460,13990,15680,22820,14780,12760,13560,14210,5960,10190,12970,15770,15990,16900,16020,20430,9740,14860,14420,15730,17010,13920,12590,15480,16530,10470,13610,14200,13830,19280,23810,13910,14620,10450,14470,25890,25190,11910,26600,13330,16790,11480,12440,25670,30890,26790,22610,20370,8880,8160,14770,20880,23480,28440,28640,20480,24310,21220,26440,29250,33210,32950,30270
23760,12260,20180,16170,12690,6040,10710,16610,11810,22100,18340,21270,15770,21060,24350,15940,28090,26120,22360,17060,22430,21390,26030,16860,30750,28080,29060,29360,20540,19360,27040,25840,28300,29480,20750,14750,21930,14380,24510,12430,30780,27960,14230,9540,17210,18770,14070,20650,30570,23650,18810,20350,25030,18580,18630,14660,27810,29810,29270,23150,8260,17560,18770,20920
14900,22830,16890,17830,10300,8310,11180,25170,12470,21920,18180,26800,14060,21130,18160,14070,33670,28310,19650,24930,32600,27040,24880,15520,32720,32760,30960,33130,24900,19280,27750,16300,33140,29370,18380,20810,16680,19040,15960,11220,34190,22410,14700,15560,17630,20070,14430,28370,41340,22060,17120,26720,18980,16790,18180,18820,29100,29730,38120,17310,14500,17200,22810,19770
16710,17490,23570,16520,9940,11760,20530,26010,19640,18110,23750,25020,17660,26890,17800,13030,34760,27860,23680,29850,31630,32270,24000,11440,36260,33770,34180,27570,18900,24320,29610,12010,34420,24460,15150,22830,18280,23960,13410,16110,30090,15780,12110,20940,15780,22370,27250,25970,35530,26200,22560,29030,16880,18950,22070,8560,34140,34060,28290,11410,17920,15550,20970,19490
22620,18200,26850,12890,10820,21960,29280,30550,26610,18200,25930,20630,28900,19480,19980,12740,32560,20840,28540,36830,32600,32150,14620,12080,37840,33980,33600,22540,27480,37790,22870,14660,35410,14570,20470,25540,22190,23390,13590,15480,23910,13260,13230,26560,25720,14580,29390,21920,36410,20390,32150,18870,31910,23430,19210,7270,34920,34810,23370,16450,27940,20160,24380,13070
30160,22660,17920,13670,15320,22500,32390,22340,24440,23200,25560,21290,28860,21710,15730,11280,31830,21610,34000,32190,36260,29920,11380,15690,31650,36790,34880,19800,30630,33010,13990,26130,25770,15670,30690,22140,23960,17950,18390,16170,15200,12370,25410,20380,31700,27260,32550,13730,29340,31920,33660,17370,23450,28750,14930,17060,34590,40130,14210,27540,20320,32390,16290,19540
18450,26410,10670,12160,13900,30240,31470,22550,13390,37980,18780,21590,27670,20830,13230,12130,22760,26150,33560,41380,48740,18990,12930,19580,40770,34480,25800,32910,37130,21840,13440,28560,18510,21970,32180,20770,24670,18040,20360,15830,13500,16860,28090,26260,23280,27600,27680,14980,25140,34950,23110,29410,15900,28160,12440,13250,35090,20290,18870,27100,22610,29360,16200,28640
24340,16080,17210,15680,19250,33480,23810,27790,24130,31170,19920,29090,15660,18450,12310,20920,15570,37400,32430,39170,27810,17580,20040,21220,31890,39510,19750,37880,35780,15200,21740,24510,16250,34220,18640,28920,19570,18590,14080,21120,10770,28460,17850,29070,27180,36660,11980,23160,23180,31500,18920,25290,31170,17880,15310,12850,34870,14510,27490,19680,34620,16070,21850,35990
23690,10560,13290,13350,31550,32370,23110,29220,32500,15710,23450,27400,19590,18790,13400,37000,29140,37580,36740,39300,20070,13350,20800,26860,33430,22480,30910,36330,28110,18290,28840,20710,25380,31130,18390,26500,17060,18310,14060,25830,14470,24810,28660,22490,37180,27030,11510,29190,31700,24100,28250,20750,23890,16070,13030,24800,15440,16000,30630,24560,33830,18300,26370,37610
19010,16150,15550,19800,31480,26210,32910,15600,32740,21880,31190,20170,19210,12190,21210,24400,37130,33260,42160,31860,13330,18710,28400,23310,39900,18450,41640,34260,13000,25360,27360,15770,35860,16530,26290,20470,25480,15160,17740,28270,23340,22490,30600,26460,32890,13990,22610,35290,32910,26370,26510,27770,15720,14210,12130,37450,17400,25930,19720,37750,17630,20550,32430,34970
12000,14720,14060,27690,31370,24790,34020,12800,22030,21050,25410,13130,14490,12270,34600,18910,32960,39350,41780,18220,14710,17410,25100,22030,27880,28410,32320,30300,13420,31510,23090,35890,33770,17040,21800,23710,19490,22480,21990,31080,28840,25270,20090,30680,29860,13800,34810,39210,26730,29800,24320,22120,17080,10990,24180,29270,18000,25630,23550,41620,16030,28080,32910,37160
11460,15840,14110,28400,25060,33020,17030,23680,17750,31330,14250,13080,11010,16980,29520,25860,28930,37050,33120,9720,17160,25690,19900,24680,13710,35400,35830,18140,22570,25090,20090,26250,19540,18910,21040,21950,12440,22470,27660,25120,17750,28050,25060,26790,17870,18380,40730,39450,26290,26000,24000,16080,15020,18750,34190,37850,20480,15650,35580,18860,18070,30830,43420,38130
11080,11790,31140,28370,23640,28170,11520,33010,26530,25930,15440,13470,11630,21880,19370,20910,36840,36040,15250,11670,18190,23430,22010,20340,23600,33330,30610,13230,21940,20030,25530,25070,17630,22020,21800,14040,12200,27140,30490,13320,20300,25790,25220,26100,15270,31550,37000,26030,24650,18750,22580,11710,11310,25060,38950,33510,19530,18960,31600,16370,24510,39910,34530,35910
9850,11120,29280,23560,26490,21270,17760,20540,22300,10950,13780,13770,12180,27330,22290,23070,34240,31240,9940,16690,20130,19460,16690,18070,26000,30300,19570,14930,22470,17050,23830,27280,16130,19890,19050,8420,18140,21350,25560,20220,23290,21090,22470,18360,17700,34990,30090,26170,23110,20900,18040,10660,12420,32700,31910,36440,15960,28970,16420,19850,24150,28430,35170,35240
10580,19510,22270,21930,26360,8660,20850,14620,21680,11290,11990,10860,21920,26260,16790,25330,30980,16580,10730,18330,18670,16000,16640,19860,34390,22660,7100,23480,19850,16310,25730,26560,19890,18890,13790,10610,24980,24610,10100,25730,17340,23750,21820,9290,23590,31880,24580,21220,14880,15980,11440,9760,14570,31520,32510,35760,16940,28060,15820,23910,25770,30540,33920,33650
9920,22660,19600,23890,12670,12550,22080,18850,11640,8190,10900,15280,24310,16710,20190,17850,18420,8210,15140,15440,14980,16920,17160,16250,28300,15770,13890,17410,18660,15660,26410,12100,16050,14580,11460,16250,25020,18010,13250,25940,15720,18930,13900,16420,29130,27430,23140,23040,9900,11430,8040,9860,21240,25690,27490,31470,22880,21090,11910,22890,26500,29160,33820,28250
24750,17880,18830,16180,14060,9080,12670,18550,18780,15170,17830,21090,15240,13510,17740,23110,20670,24750,21130,17410,29540,24880,25520,19950,32540,31790,29780,29450,29260,22720,25420,22700,30750,33350,29560,23330,24820,15750,23480,17210,34750,27750,13330,13110,15700,16770,18450,15430,35470,31300,15890,12680,17250,18270,18320,19890,28900,34880,29990,33710,16170,12180,19970,19700
27950,19670,17650,20380,11490,11980,16510,26030,12180,21030,18620,23640,16020,18300,22220,18960,27920,29210,15760,24970,23290,31650,27010,11580,34720,39960,24330,32100,26550,26910,29620,18480,35610,39450,28720,21790,22950,24360,25890,14150,36950,20600,13300,16200,22980,28060,16980,22020,30280,25920,13610,24180,19980,20060,24650,26010,33100,31430,36320,33650,15300,24480,19570,17950
21790,22670,22040,26290,10040,8790,23700,32800,15690,22310,27020,19300,16500,21510,19980,23150,33430,21680,20650,23190,29380,35060,21360,9730,41460,35600,37830,35620,26570,33600,28260,13060,32910,35780,28350,22930,19200,30250,25720,15690,35720,15130,9230,28990,23010,27950,19070,30060,34840,24590,14980,23490,18200,24520,24210,18130,35250,36070,36640,22690,23720,22430,22510,13020
20660,15970,25650,16780,11860,17150,32990,32870,24260,14950,29050,18040,17840,20660,23870,20820,31190,15220,31230,37560,36040,35790,12480,13160,41710,31320,39170,32580,36130,33660,20940,17770,36120,32930,25160,24500,25630,36810,18520,19620,28860,14910,18030,35190,30690,23260,33010,22950,34310,17250,23610,25820,29670,21570,29110,17020,35760,31560,38970,17550,23320,27680,22890,9470
29490,17280,20020,11200,12950,21860,37240,41610,24760,25440,22910,18690,25710,19250,29500,18890,29900,27090,34540,39910,39660,25330,10600,14320,35870,33340,42250,28280,37930,31310,20040,21090,40730,30570,34470,18100,32190,27370,14830,19460,17840,12080,30520,24230,37230,16330,31500,16700,23680,21470,30710,22520,28650,28320,24810,11000,43200,42070,24170,30460,21670,35260,16970,13030
21730,30240,16550,12860,18920,31250,41810,35820,22950,33550,14700,20830,20330,21890,24610,18970,21320,36670,35890,39770,39230,22160,14150,15470,32030,40120,35390,36100,42270,25760,17610,32990,34040,33830,26250,21730,33730,21440,19200,22580,14610,14250,35580,24800,24330,37830,31830,16390,13800,22770,26680,29530,22120,35200,16590,12580,40140,39350,18870,33470,31550,23320,17610,16800
20510,24680,19720,12360,29980,46730,38130,37420,27590,23390,19410,25690,15260,31570,17640,26960,18480,41210,34990,36680,25210,17590,15920,23330,29120,35010,28570,42350,38140,15000,24680,35930,28950,36480,15700,39700,34680,14060,20870,17810,12160,29760,26490,28440,24370,33220,16340,24880,19780,36480,20810,32800,33800,26200,15780,16080,45170,30350,27330,23680,41060,16930,15020,21860
26150,15800,20050,17420,34440,34050,30290,31350,36910,17350,18960,26790,26610,23780,19730,36530,30670,32960,37460,40800,19870,19490,14050,30480,39030,30740,36950,43230,26630,12930,34820,31850,37990,24770,23210,30670,22790,21440,21780,19540,17200,43360,24130,19260,28420,27660,15370,35530,24620,26540,27160,19040,33740,16010,15530,29200,36390,19860,30400,28690,31570,15940,23100,33000
22320,15850,15540,26560,39460,35680,41600,16370,28490,13990,22330,15170,30570,21190,32560,29640,39420,40010,40540,24060,13630,16750,21910,20810,38310,35230,41550,42120,15300,28310,38130,22480,38470,17900,36750,28050,22050,19570,20680,22180,33990,29250,32590,18840,29700,17180,24730,42300,33900,17780,26240,32510,28200,20650,15760,41480,28800,25180,23650,35260,14370,14560,22470,43510
19590,13470,17000,40270,35830,40940,34430,20570,14240,20860,21000,25090,19620,17190,41390,16470,37340,35380,48540,17420,13180,16800,30140,21490,33370,38990,36420,27370,17780,37320,38480,29950,29780,18510,39560,22250,14240,22420,20310,27820,39940,26680,25870,29890,29240,17050,38450,44360,26310,25250,19440,34820,19990,16060,33100,38060,20320,34170,29970,31600,15710,18180,30640,34860
12890,11340,26500,44920,30320,40480,16910,30560,15710,28140,19380,33210,18800,28150,28440,21100,33560,39490,28280,13220,13520,20610,22190,27390,26630,38890,35990,14090,26530,28810,23650,29150,13360,33390,24600,15020,17060,17820,24270,21310,26910,26090,19270,34320,19860,30200,40360,40640,17290,25450,27470,27410,18960,16940,35020,40490,26420,29310,35470,11240,21290,26510,36250,37790
13670,12410,36710,31800,33840,32950,21530,35370,16270,19550,16690,23800,14080,37010,23380,20400,27970,38870,14920,14720,19780,24920,22880,22390,39640,39020,28350,14630,30860,31520,27270,26410,16630,30790,23040,13090,20340,19910,25630,13940,25520,18970,27190,32760,17280,35770,40900,23160,19180,18280,25000,13980,13640,28090,43930,36020,30420,30260,25050,14580,18730,27610,38140,39840
9200,20650,42800,32570,35620,18650,25860,32620,16780,9200,20720,16750,23920,33300,17520,17750,31680,25890,9530,13510,22980,19130,24630,28080,31840,36420,16850,22560,27640,23740,29850,21150,25490,22270,14980,12200,23780,23130,17110,25900,27410,19790,25330,18480,20010,36120,32160,19450,15310,19070,18980,16470,13420,34510,35840,41040,23560,25280,12360,15290,20490,30750,35330,34810
10430,33260,30230,34410,27570,11370,31640,21040,12480,15350,17920,13680,31780,21840,16270,17700,28510,13600,12990,12130,17410,17430,24670,21980,34820,23960,14110,22120,23860,21990,21480,16700,26150,16620,15280,17380,15280,20230,16820,32840,19800,19740,19540,13940,26900,34390,19590,28640,20450,24360,16370,9260,22130,36340,35280,34040,27560,22120,12940,16740,25920,37800,34940,36310
