0,0,0.980971139
0,1,1.008617205
0,2,1.02085523
0,3,1.027471378
0,4,1.040738424
0,5,1.011702475
0,6,1.041416429
0,7,1.00766353
1,0,1.021888484
1,1,1.014162867
1,2,1.015290072
1,3,0.997031737
1,4,1.00909472
1,5,1.046929576
1,6,1.025713326
1,7,0.990647109
2,0,1.007346039
2,1,0.968392681
2,2,0.984394244
2,3,0.987739592
2,4,1.000098568
2,5,0.99713539
2,6,1.006500374
2,7,1.002398005
3,0,0.992235588
3,1,0.995531196
3,2,0.999056853
3,3,1.019173872
3,4,1.014270112
3,5,1.010956028
3,6,0.997187224
3,7,1.007928259
4,0,0.971629976
4,1,0.999108887
4,2,0.964255083
4,3,0.973998001
4,4,0.9989528
4,5,1.039723069
4,6,1.000515862
4,7,1.003341735
5,0,1.016365933
5,1,0.985203155
5,2,1.009891583
5,3,1.045104365
5,4,1.011329114
5,5,1.004287243
5,6,0.989778165
5,7,1.024836554
6,0,0.999942172
6,1,1.010157484
6,2,0.992954637
6,3,0.964061244
6,4,1.001717526
6,5,0.963528586
6,6,0.955370817
6,7,0.992903241
7,0,0.975335094
7,1,0.990851788
7,2,1.001142457
7,3,0.988044843
7,4,0.973404913
7,5,0.957182308
7,6,0.992800467
7,7,0.979718622
